"locality","min_price","max_price","avg_price","population","area_km2","population_density","dist_airport_km","dist_station_km","lat","lon","hospital_5km","clinic_5km","doctors_5km","pharmacy_5km","dentist_5km","school_5km","kindergarten_5km","college_5km","university_5km","bus_station_5km","parking_5km","fuel_5km","restaurant_5km","cafe_5km","bar_5km","bank_5km","atm_5km","hospital_2km","clinic_2km","doctors_2km","pharmacy_2km","dentist_2km","school_2km","kindergarten_2km","college_2km","university_2km","bus_station_2km","parking_2km","fuel_2km","restaurant_2km","cafe_2km","bar_2km","bank_2km","atm_2km","flooded"
"Adambakkam",9314,10612,9963,82848,3.08,26916,2.81,0.68,12.9822215,80.209121,69,33,3,62,12,32,6,5,2,6,16,28,105,29,3,70,107,21,7,1,13,3,11,2,1,0,2,2,3,39,6,1,25,12,1
"Adyar",14123,20797,17460,22467,0.61,37064,6.92,0.55,13.00645,80.2577791,105,91,20,59,18,27,3,4,2,4,16,39,189,36,11,80,83,20,30,7,11,3,4,0,2,0,1,1,2,38,9,3,14,10,1
"Alandur",10123,13402,11762,47983,1.71,28095,2.76,0.48,13.0028216,80.1719186,74,45,6,28,14,28,4,2,1,5,1,22,51,20,7,54,73,1,1,1,2,0,0,2,0,0,0,0,4,6,0,0,1,8,0
"Alwarpet",17224,23560,20392,36202,0.98,36753,7.66,0.88,13.0338602,80.2545491,173,113,25,77,15,34,5,8,1,4,15,53,247,56,19,135,118,50,26,9,11,1,10,0,1,0,1,0,22,69,10,7,40,15,1
"Ambattur",5349,7691,6520,194967,14.37,13563,11.32,0.9,13.1193746,80.1507648,16,5,0,2,0,7,0,0,1,5,0,4,4,3,0,9,12,9,2,0,0,0,3,0,0,1,1,0,1,2,1,0,4,4,0
"Aminjikarai",9462,13736,11599,54873,1.52,36033,8.2,0.82,13.0721399,80.2205453,247,131,18,62,28,43,2,7,0,14,6,51,164,47,9,114,104,49,10,0,9,3,5,0,3,0,6,0,3,20,7,0,10,12,0
"Anakaputhur",4272,6110,5191,25223,3.29,7657,3.88,2.51,12.9806162,80.1297551,57,74,12,10,27,12,0,9,0,4,3,15,26,5,2,15,28,10,15,2,2,6,4,0,1,0,1,0,1,2,0,0,6,2,0
"Anna Nagar",12899,18757,15828,167257,5.47,30552,8.95,1.77,13.0872004,80.2164421,219,122,11,43,27,24,3,6,0,15,5,32,103,34,4,70,74,45,11,0,9,4,6,0,2,0,1,0,3,22,7,0,7,7,0
"Anna Nagar West",11917,17852,14884,4455,0.11,40303,8.62,2.05,13.0940791,80.1922978,116,78,5,33,23,18,1,3,0,15,1,16,44,17,1,29,54,15,11,0,10,5,1,0,0,0,2,0,1,14,3,0,5,17,0
"Anna Salai",21178,28650,24914,32322,1.01,32077,10.33,0.88,12.9670659,80.2468131,53,59,7,33,11,26,6,3,2,4,15,14,110,21,3,49,49,10,12,1,5,3,4,1,0,0,0,0,5,6,0,0,6,12,1
"Arumbakkam",8260,14281,11270,55151,1.91,28809,7.87,2.02,13.074371,80.2081312,219,111,14,60,31,30,3,6,0,17,3,33,119,37,6,80,90,32,9,0,11,3,5,0,3,0,7,1,5,24,10,0,12,19,0
"Ashok Nagar",11433,15933,13683,3129,0.1,31025,5.87,1.15,13.0400731,80.2159247,214,116,20,75,27,47,5,9,0,12,5,60,191,52,15,119,126,57,27,3,35,6,16,0,0,0,1,1,7,35,8,1,26,38,0
